Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
24.68, 24.96, 102.38, 456, 29, 113, 400, 14535, 20839
24.70, 24.49, 102.38, 456, 28, 111, 400, 14536, 20841
24.70, 24.56, 102.38, 457, 27, 109, 400, 14537, 20845
24.70, 24.66, 102.38, 457, 29, 115, 400, 14532, 20833
24.71, 24.87, 102.38, 457, 29, 113, 400, 14537, 20851
24.70, 24.37, 102.38, 457, 28, 110, 400, 14532, 20832
24.68, 24.87, 102.37, 457, 26, 110, 400, 14541, 20850
24.68, 24.68, 102.38, 457, 29, 108, 400, 14536, 20851
24.71, 24.77, 102.38, 458, 29, 106, 400, 14541, 20848
24.70, 24.49, 102.38, 458, 30, 109, 400, 14539, 20846
24.70, 24.72, 102.37, 457, 27, 104, 400, 14540, 20857
24.71, 24.29, 102.38, 457, 29, 100, 400, 14546, 20854
24.73, 24.54, 102.38, 459, 27, 100, 400, 14543, 20859
24.71, 24.69, 102.37, 459, 28, 103, 400, 14545, 20858
24.73, 24.52, 102.38, 461, 29, 93, 400, 14550, 20866
24.73, 24.31, 102.38, 461, 28, 104, 400, 14541, 20853
24.68, 24.56, 102.38, 461, 27, 94, 400, 14548, 20862
24.71, 24.29, 102.37, 461, 27, 99, 400, 14546, 20861
24.75, 24.54, 102.38, 461, 27, 101, 400, 14543, 20857
24.73, 24.48, 102.38, 461, 28, 90, 400, 14549, 20869
24.71, 24.43, 102.38, 463, 29, 94, 400, 14550, 20875
24.71, 23.96, 102.38, 463, 28, 91, 400, 14546, 20867
24.73, 24.57, 102.38, 471, 29, 86, 400, 14549, 20870
24.75, 24.41, 102.38, 471, 28, 91, 400, 14549, 20867
24.77, 24.49, 102.38, 475, 25, 89, 400, 14546, 20877
24.75, 24.54, 102.38, 475, 28, 84, 400, 14551, 20881
24.73, 24.51, 102.38, 476, 28, 84, 400, 14548, 20874
24.71, 24.10, 102.38, 476, 28, 87, 400, 14550, 20879
24.73, 24.35, 102.38, 484, 27, 81, 400, 14549, 20884
24.71, 24.35, 102.38, 484, 28, 82, 400, 14549, 20877
24.75, 24.50, 102.38, 489, 26, 92, 400, 14542, 20874
24.73, 24.12, 102.38, 489, 26, 83, 400, 14544, 20881
24.71, 24.30, 102.38, 490, 27, 81, 400, 14548, 20878
24.75, 23.83, 102.38, 490, 26, 87, 400, 14557, 20892
24.77, 24.32, 102.37, 492, 23, 76, 400, 14549, 20883
24.77, 23.97, 102.38, 492, 25, 84, 400, 14544, 20883
24.82, 24.27, 102.38, 491, 23, 80, 400, 14550, 20886
24.79, 24.12, 102.38, 491, 25, 84, 400, 14538, 20884
