Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.11, 30.39, 102.23, 38, 38, 625, 400, 13869, 20304
25.11, 30.09, 102.23, 38, 39, 634, 402, 13868, 20307
25.09, 30.56, 102.23, 37, 38, 632, 400, 13868, 20304
25.11, 30.51, 102.23, 37, 38, 625, 400, 13867, 20309
25.11, 30.61, 102.23, 36, 38, 633, 404, 13869, 20304
25.09, 29.88, 102.22, 36, 38, 639, 400, 13871, 20301
25.13, 30.42, 102.23, 38, 38, 649, 400, 13869, 20297
25.15, 30.03, 102.23, 38, 37, 636, 400, 13869, 20299
25.15, 30.53, 102.23, 36, 38, 636, 400, 13873, 20305
25.13, 30.29, 102.23, 36, 37, 654, 400, 13873, 20293
25.11, 30.42, 102.23, 37, 37, 650, 400, 13878, 20300
25.13, 30.27, 102.23, 37, 37, 661, 400, 13869, 20290
25.11, 30.39, 102.23, 38, 38, 651, 400, 13878, 20293
25.15, 30.02, 102.23, 38, 38, 658, 400, 13871, 20287
25.15, 30.55, 102.23, 35, 37, 656, 400, 13880, 20302
25.13, 30.36, 102.23, 35, 38, 660, 400, 13872, 20289
25.11, 30.59, 102.23, 37, 37, 664, 400, 13871, 20292
25.16, 30.17, 102.23, 37, 38, 657, 400, 13878, 20296
25.13, 30.53, 102.23, 38, 38, 662, 400, 13870, 20288
25.15, 30.10, 102.23, 38, 37, 642, 400, 13876, 20296
25.15, 30.71, 102.23, 36, 37, 670, 400, 13866, 20289
25.16, 30.17, 102.23, 36, 39, 652, 400, 13865, 20286
25.13, 30.28, 102.23, 39, 39, 658, 400, 13870, 20299
25.15, 30.17, 102.23, 39, 38, 674, 402, 13865, 20283
25.15, 30.65, 102.23, 38, 38, 667, 407, 13861, 20288
25.15, 30.33, 102.23, 38, 38, 684, 414, 13857, 20292
25.15, 30.29, 102.23, 36, 38, 674, 424, 13852, 20284
25.15, 30.19, 102.23, 36, 38, 676, 432, 13846, 20287
25.16, 30.69, 102.23, 38, 38, 686, 435, 13834, 20278
25.16, 30.14, 102.23, 38, 38, 686, 438, 13837, 20279
25.18, 30.44, 102.23, 35, 39, 679, 433, 13842, 20277
25.11, 30.18, 102.23, 35, 39, 685, 433, 13852, 20279
25.15, 30.50, 102.23, 37, 37, 702, 424, 13848, 20279
25.18, 30.43, 102.23, 37, 39, 694, 428, 13845, 20278
25.15, 30.50, 102.23, 37, 39, 687, 423, 13849, 20280
25.16, 30.46, 102.23, 37, 39, 699, 417, 13848, 20273
25.15, 30.53, 102.22, 34, 39, 700, 409, 13851, 20281
25.16, 30.61, 102.23, 34, 38, 690, 407, 13851, 20273
25.15, 30.49, 102.23, 38, 39, 685, 406, 13861, 20275
25.16, 30.33, 102.23, 38, 37, 694, 400, 13860, 20271
25.11, 30.58, 102.23, 38, 37, 694, 402, 13859, 20273
25.16, 30.26, 102.23, 38, 38, 682, 400, 13861, 20269
25.18, 30.42, 102.23, 35, 37, 716, 404, 13860, 20270
25.15, 30.61, 102.23, 35, 38, 688, 405, 13856, 20267
25.15, 30.68, 102.23, 39, 37, 707, 400, 13868, 20272
25.16, 30.22, 102.23, 39, 39, 694, 400, 13865, 20268
25.15, 30.56, 102.23, 36, 37, 701, 400, 13858, 20268
25.16, 30.32, 102.23, 36, 39, 702, 400, 13864, 20276
25.16, 30.76, 102.23, 37, 39, 694, 400, 13868, 20267
25.16, 30.31, 102.23, 37, 36, 699, 400, 13868, 20274
25.20, 30.76, 102.23, 38, 39, 695, 400, 13864, 20271
25.16, 30.42, 102.23, 38, 38, 708, 400, 13868, 20267
25.18, 30.61, 102.23, 36, 37, 704, 400, 13866, 20266
25.18, 30.61, 102.23, 36, 36, 698, 400, 13872, 20274
25.18, 30.79, 102.23, 38, 37, 693, 400, 13872, 20271
25.15, 30.21, 102.23, 38, 38, 702, 400, 13871, 20266
25.20, 30.77, 102.23, 38, 38, 705, 400, 13869, 20267
25.18, 30.49, 102.23, 38, 37, 703, 400, 13872, 20273
25.18, 30.69, 102.23, 36, 39, 703, 400, 13871, 20267
25.16, 30.67, 102.23, 36, 39, 704, 400, 13868, 20267
25.18, 30.84, 102.23, 39, 36, 701, 400, 13873, 20265
25.15, 30.29, 102.23, 39, 39, 698, 400, 13871, 20268
25.16, 30.60, 102.23, 36, 38, 708, 400, 13873, 20261
25.16, 30.35, 102.23, 36, 38, 688, 400, 13870, 20265
25.16, 30.94, 102.23, 37, 37, 721, 400, 13867, 20254
25.15, 30.18, 102.23, 37, 38, 708, 400, 13873, 20256
25.18, 30.86, 102.24, 39, 38, 705, 400, 13881, 20269
25.18, 30.45, 102.23, 39, 36, 721, 400, 13874, 20267
25.20, 30.94, 102.23, 36, 38, 703, 400, 13875, 20261
25.16, 30.40, 102.23, 36, 37, 716, 400, 13875, 20264
25.18, 30.87, 102.23, 38, 38, 726, 400, 13880, 20262
25.20, 30.35, 102.23, 38, 37, 716, 400, 13877, 20263
25.20, 30.97, 102.23, 36, 38, 708, 400, 13879, 20260
25.16, 30.55, 102.23, 36, 37, 718, 400, 13879, 20259
25.15, 30.83, 102.23, 37, 39, 712, 400, 13873, 20252
25.18, 30.50, 102.23, 37, 39, 724, 400, 13880, 20254
25.20, 30.90, 102.24, 37, 37, 728, 400, 13875, 20252
25.20, 30.18, 102.23, 37, 36, 720, 400, 13877, 20255
25.22, 30.90, 102.23, 36, 37, 711, 400, 13880, 20263
25.20, 30.68, 102.23, 36, 37, 700, 400, 13878, 20267
25.16, 30.84, 102.23, 38, 39, 700, 400, 13881, 20269
25.20, 30.38, 102.23, 38, 38, 710, 400, 13881, 20263
25.20, 30.65, 102.23, 36, 39, 695, 400, 13882, 20262
25.18, 30.34, 102.23, 36, 36, 716, 400, 13871, 20262
25.20, 30.94, 102.23, 37, 37, 690, 400, 13886, 20270
25.20, 30.40, 102.23, 37, 36, 699, 400, 13879, 20265
25.20, 30.80, 102.23, 37, 38, 691, 400, 13876, 20274
25.24, 30.54, 102.23, 37, 38, 671, 400, 13883, 20269
25.18, 30.93, 102.23, 35, 39, 701, 400, 13876, 20262
25.24, 30.88, 102.23, 35, 38, 713, 400, 13876, 20264
25.22, 30.86, 102.24, 38, 36, 695, 400, 13881, 20268
25.20, 30.64, 102.23, 38, 38, 710, 400, 13883, 20267
25.18, 30.96, 102.23, 35, 38, 712, 400, 13882, 20268
25.22, 30.78, 102.23, 35, 37, 694, 400, 13878, 20268
25.20, 30.97, 102.23, 38, 38, 690, 400, 13883, 20272
25.22, 30.62, 102.23, 38, 39, 686, 400, 13873, 20275
25.20, 30.78, 102.23, 37, 36, 696, 400, 13873, 20272
25.24, 30.41, 102.23, 37, 38, 691, 400, 13875, 20267
25.24, 30.76, 102.23, 35, 38, 690, 400, 13869, 20267
25.20, 30.62, 102.23, 35, 39, 711, 400, 13871, 20270
25.22, 30.97, 102.23, 39, 38, 708, 400, 13864, 20257
25.20, 30.46, 102.23, 39, 37, 696, 400, 13861, 20255
25.27, 30.81, 102.23, 36, 38, 699, 400, 13869, 20265
25.24, 30.38, 102.23, 36, 36, 699, 400, 13873, 20269
25.22, 30.82, 102.23, 36, 37, 691, 400, 13870, 20269
25.20, 30.41, 102.23, 36, 36, 692, 400, 13865, 20271
25.20, 30.62, 102.24, 38, 38, 698, 400, 13873, 20271
25.20, 30.36, 102.23, 38, 37, 707, 400, 13867, 20252
25.22, 31.01, 102.23, 35, 38, 712, 400, 13865, 20257
25.24, 30.40, 102.24, 35, 37, 713, 405, 13867, 20258
25.22, 30.98, 102.23, 38, 36, 707, 400, 13864, 20260
25.22, 30.47, 102.23, 38, 38, 742, 409, 13866, 20260
25.24, 30.66, 102.23, 37, 38, 720, 404, 13866, 20252
25.24, 30.68, 102.23, 37, 37, 735, 400, 13867, 20252
25.24, 30.78, 102.23, 37, 37, 712, 400, 13868, 20256
25.24, 30.37, 102.23, 37, 36, 715, 400, 13873, 20260
25.24, 30.91, 102.23, 38, 39, 717, 400, 13869, 20252
25.24, 30.45, 102.23, 38, 39, 730, 400, 13867, 20252
25.27, 31.06, 102.23, 36, 37, 729, 400, 13869, 20259
25.25, 30.30, 102.23, 36, 38, 724, 400, 13871, 20255
25.25, 31.07, 102.23, 38, 37, 730, 400, 13873, 20251
25.25, 30.55, 102.23, 38, 38, 715, 400, 13880, 20257
25.22, 31.01, 102.23, 35, 38, 708, 400, 13873, 20252
25.24, 30.56, 102.23, 35, 38, 716, 400, 13875, 20255
25.24, 31.05, 102.23, 38, 37, 709, 400, 13875, 20263
25.22, 30.52, 102.23, 38, 39, 701, 400, 13879, 20255
25.25, 30.90, 102.23, 36, 39, 701, 400, 13871, 20261
25.29, 30.56, 102.23, 36, 38, 707, 400, 13873, 20259
25.25, 31.01, 102.23, 37, 38, 728, 400, 13868, 20250
25.27, 30.45, 102.23, 37, 38, 732, 400, 13868, 20249
25.25, 31.01, 102.23, 38, 38, 729, 400, 13871, 20258
25.27, 30.57, 102.23, 38, 38, 728, 400, 13865, 20243
25.29, 30.69, 102.23, 36, 38, 713, 400, 13878, 20252
25.24, 30.68, 102.23, 36, 38, 736, 400, 13871, 20249
25.27, 30.87, 102.23, 38, 38, 709, 400, 13877, 20256
25.25, 30.52, 102.23, 38, 38, 695, 400, 13875, 20258
25.31, 31.07, 102.23, 35, 38, 718, 400, 13877, 20258
25.29, 30.46, 102.23, 35, 38, 704, 400, 13876, 20269
25.31, 31.11, 102.23, 38, 38, 693, 400, 13869, 20258
25.27, 30.74, 102.23, 38, 38, 688, 400, 13877, 20261
25.25, 30.77, 102.23, 37, 38, 691, 400, 13870, 20269
25.29, 30.73, 102.23, 37, 37, 746, 404, 13869, 20254
25.27, 30.98, 102.23, 35, 38, 736, 400, 13864, 20244
25.27, 30.81, 102.23, 35, 35, 718, 401, 13867, 20256
25.25, 30.94, 102.23, 38, 38, 725, 400, 13864, 20250
25.27, 30.53, 102.23, 38, 38, 704, 400, 13866, 20242
25.27, 30.77, 102.23, 35, 38, 724, 406, 13861, 20254
25.25, 30.37, 102.23, 35, 38, 713, 407, 13865, 20250
25.27, 30.76, 102.23, 38, 38, 709, 400, 13861, 20245
25.27, 30.70, 102.23, 38, 39, 722, 402, 13864, 20251
25.27, 30.92, 102.23, 36, 36, 744, 405, 13865, 20246
25.29, 30.84, 102.23, 36, 38, 739, 400, 13867, 20249
25.31, 31.10, 102.23, 37, 38, 737, 400, 13863, 20242
25.29, 30.54, 102.23, 37, 38, 735, 400, 13864, 20244
25.29, 31.15, 102.23, 37, 37, 728, 402, 13864, 20247
25.29, 30.52, 102.23, 37, 38, 737, 400, 13873, 20244
25.29, 30.98, 102.23, 36, 38, 744, 400, 13869, 20249
25.29, 30.79, 102.23, 36, 38, 729, 400, 13864, 20246
25.33, 31.05, 102.23, 38, 38, 733, 400, 13866, 20246
25.31, 30.80, 102.23, 38, 39, 729, 400, 13868, 20246
25.31, 30.82, 102.23, 35, 39, 737, 400, 13864, 20247
25.31, 30.82, 102.23, 35, 38, 715, 400, 13869, 20250
25.31, 31.12, 102.23, 38, 39, 708, 400, 13867, 20255
25.31, 30.95, 102.23, 38, 38, 720, 400, 13861, 20252
25.29, 31.14, 102.23, 35, 36, 713, 400, 13870, 20252
25.29, 30.92, 102.23, 35, 38, 711, 404, 13861, 20242
25.31, 31.04, 102.23, 38, 38, 725, 403, 13862, 20253
25.29, 30.52, 102.23, 38, 39, 727, 404, 13859, 20243
25.29, 30.65, 102.23, 36, 39, 735, 411, 13858, 20244
25.27, 30.63, 102.23, 36, 39, 721, 412, 13858, 20249
25.33, 31.10, 102.24, 38, 38, 719, 410, 13848, 20251
25.29, 30.94, 102.23, 38, 47, 741, 421, 13841, 20229
25.29, 30.81, 102.23, 36, 39, 741, 421, 13844, 20235
25.33, 30.92, 102.23, 36, 38, 744, 412, 13843, 20233
25.31, 31.01, 102.23, 38, 39, 728, 413, 13850, 20246
25.29, 30.46, 102.23, 0, 39, 717, 413, 13852, 20251
25.31, 31.09, 102.24, 37, 37, 728, 421, 13842, 20237
25.27, 30.75, 102.24, 37, 38, 742, 420, 13847, 20244
25.29, 30.75, 102.23, 38, 38, 732, 424, 13844, 20229
25.31, 30.78, 102.23, 38, 39, 742, 420, 13841, 20239
