Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.54, 37.57, 102.09, 372, 52, 38, 513, 13413, 19511
25.54, 37.36, 102.09, 372, 54, 37, 492, 13421, 19509
25.56, 37.66, 102.09, 375, 51, 41, 498, 13425, 19509
25.54, 37.69, 102.10, 375, 52, 48, 505, 13426, 19503
25.60, 38.00, 102.09, 378, 51, 49, 506, 13418, 19505
25.58, 37.41, 102.09, 378, 52, 44, 497, 13423, 19501
25.52, 38.02, 102.10, 377, 51, 48, 496, 13428, 19503
25.54, 37.42, 102.09, 377, 52, 38, 489, 13432, 19508
25.56, 37.89, 102.09, 374, 51, 43, 477, 13444, 19511
25.58, 37.57, 102.09, 374, 51, 40, 464, 13440, 19506
25.56, 37.70, 102.09, 372, 53, 40, 462, 13452, 19514
25.58, 37.96, 102.09, 372, 53, 40, 449, 13464, 19518
25.58, 37.88, 102.09, 374, 51, 42, 448, 13464, 19510
25.58, 37.27, 102.09, 374, 53, 33, 433, 13465, 19523
25.56, 38.06, 102.09, 375, 52, 37, 444, 13469, 19522
25.60, 37.56, 102.09, 375, 51, 33, 426, 13475, 19526
25.56, 37.87, 102.09, 376, 51, 22, 418, 13476, 19535
25.58, 37.77, 102.09, 376, 51, 26, 415, 13483, 19531
25.56, 37.92, 102.10, 375, 52, 23, 412, 13482, 19532
25.56, 37.35, 102.09, 375, 52, 21, 401, 13483, 19530
25.58, 37.87, 102.09, 373, 50, 23, 406, 13490, 19540
25.58, 37.81, 102.09, 373, 52, 23, 412, 13489, 19544
25.58, 37.62, 102.09, 373, 50, 14, 400, 13492, 19545
25.56, 37.53, 102.09, 373, 49, 14, 400, 13494, 19558
25.56, 37.77, 102.09, 374, 50, 14, 401, 13488, 19553
25.60, 37.68, 102.09, 374, 51, 18, 407, 13493, 19547
25.61, 37.81, 102.09, 376, 51, 13, 400, 13494, 19549
25.58, 37.47, 102.09, 376, 52, 15, 404, 13500, 19556
25.58, 37.70, 102.09, 377, 51, 5, 400, 13505, 19565
25.56, 37.27, 102.09, 377, 50, 5, 405, 13502, 19562
25.60, 37.69, 102.09, 375, 52, 2, 400, 13500, 19566
25.60, 37.79, 102.09, 375, 49, 1, 407, 13499, 19566
25.60, 37.82, 102.09, 372, 51, 0, 400, 13505, 19560
25.60, 37.35, 102.09, 372, 50, 5, 405, 13505, 19561
25.61, 37.60, 102.09, 372, 50, 0, 400, 13502, 19574
25.60, 37.44, 102.09, 372, 49, 0, 401, 13505, 19574
25.60, 37.81, 102.09, 375, 49, 0, 400, 13507, 19587
25.58, 37.42, 102.10, 375, 51, 3, 408, 13510, 19591
25.58, 38.07, 102.09, 376, 51, 2, 412, 13499, 19571
25.58, 37.41, 102.09, 376, 50, 2, 412, 13505, 19588
25.60, 38.04, 102.09, 377, 50, 0, 402, 13510, 19600
25.63, 37.86, 102.09, 377, 51, 0, 409, 13507, 19593
25.61, 37.90, 102.09, 374, 50, 0, 412, 13500, 19592
25.61, 37.65, 102.09, 374, 51, 0, 409, 13505, 19590
25.60, 37.79, 102.09, 373, 49, 7, 411, 13505, 19591
25.63, 37.72, 102.09, 373, 51, 3, 410, 13505, 19602
25.61, 38.00, 102.09, 373, 50, 1, 407, 13500, 19603
25.61, 37.53, 102.09, 373, 50, 0, 409, 13495, 19592
25.63, 37.79, 102.09, 375, 50, 0, 412, 13503, 19598
25.60, 37.97, 102.09, 375, 50, 0, 411, 13497, 19604
25.61, 37.84, 102.09, 377, 50, 1, 402, 13497, 19605
25.63, 37.39, 102.09, 377, 48, 0, 404, 13502, 19609
25.63, 37.96, 102.09, 375, 50, 0, 405, 13495, 19611
25.63, 37.76, 102.09, 375, 54, 4, 412, 13496, 19606
25.61, 37.98, 102.09, 373, 49, 0, 406, 13498, 19619
25.63, 37.69, 102.09, 373, 51, 7, 411, 13502, 19613
25.61, 37.93, 102.09, 373, 51, 5, 417, 13493, 19610
25.65, 37.63, 102.09, 373, 49, 7, 415, 13494, 19608
25.65, 37.68, 102.09, 375, 50, 8, 414, 13500, 19617
25.67, 37.87, 102.09, 375, 54, 0, 406, 13505, 19622
25.61, 37.95, 102.09, 377, 49, 6, 407, 13500, 19622
25.63, 37.74, 102.09, 377, 52, 4, 404, 13501, 19625
25.63, 37.89, 102.09, 376, 48, 6, 406, 13498, 19617
25.60, 37.75, 102.09, 376, 50, 1, 407, 13502, 19632
25.61, 37.94, 102.09, 374, 49, 2, 401, 13500, 19630
25.65, 37.45, 102.09, 374, 50, 0, 402, 13502, 19625
25.61, 37.96, 102.09, 372, 50, 0, 404, 13495, 19630
25.65, 37.57, 102.09, 372, 49, 2, 400, 13501, 19631
25.60, 37.91, 102.09, 374, 47, 9, 413, 13502, 19632
25.63, 37.74, 102.09, 374, 49, 4, 407, 13498, 19628
25.63, 37.61, 102.09, 377, 50, 8, 402, 13500, 19628
25.61, 37.53, 102.09, 377, 50, 4, 406, 13500, 19638
25.65, 37.71, 102.09, 377, 50, 4, 410, 13504, 19633
25.61, 37.68, 102.09, 377, 49, 6, 404, 13498, 19629
25.61, 38.05, 102.09, 375, 50, 7, 408, 13502, 19630
25.65, 37.33, 102.09, 375, 49, 4, 400, 13506, 19631
25.65, 37.95, 102.09, 373, 55, 4, 408, 13502, 19627
25.63, 37.56, 102.09, 373, 50, 7, 402, 13500, 19629
25.63, 37.93, 102.09, 373, 48, 3, 408, 13506, 19633
25.69, 37.81, 102.09, 373, 49, 5, 400, 13498, 19626
25.69, 38.05, 102.09, 376, 49, 2, 401, 13503, 19629
25.63, 37.49, 102.09, 376, 49, 0, 400, 13509, 19645
25.67, 37.93, 102.09, 378, 48, 11, 415, 13506, 19637
25.65, 37.75, 102.09, 378, 50, 0, 401, 13512, 19648
25.69, 38.16, 102.09, 378, 49, 4, 412, 13505, 19644
25.67, 37.61, 102.09, 378, 50, 0, 406, 13503, 19646
25.67, 37.89, 102.09, 375, 50, 0, 415, 13505, 19648
25.63, 37.59, 102.09, 375, 49, 3, 410, 13503, 19646
25.65, 37.92, 102.09, 373, 50, 7, 419, 13496, 19636
25.67, 37.73, 102.09, 373, 50, 3, 414, 13500, 19635
25.65, 37.93, 102.09, 375, 50, 8, 411, 13501, 19634
25.67, 37.59, 102.09, 375, 50, 9, 414, 13498, 19644
25.65, 37.85, 102.09, 376, 50, 7, 407, 13504, 19639
25.70, 37.85, 102.09, 376, 48, 10, 413, 13499, 19646
25.67, 37.95, 102.09, 378, 48, 4, 412, 13495, 19640
25.67, 37.91, 102.09, 378, 48, 12, 422, 13494, 19643
25.69, 37.98, 102.09, 377, 50, 8, 419, 13495, 19635
25.69, 37.34, 102.08, 377, 49, 7, 421, 13491, 19635
25.69, 37.81, 102.09, 375, 50, 6, 422, 13493, 19644
25.70, 37.35, 102.09, 375, 50, 7, 423, 13489, 19637
25.69, 37.85, 102.09, 373, 49, 5, 421, 13485, 19646
25.67, 37.81, 102.09, 373, 48, 7, 417, 13489, 19650
25.67, 37.89, 102.09, 374, 49, 2, 421, 13494, 19651
25.69, 37.58, 102.09, 374, 50, 6, 422, 13490, 19645
25.69, 38.05, 102.09, 376, 50, 4, 425, 13485, 19640
25.69, 37.50, 102.09, 376, 49, 5, 417, 13488, 19644
25.67, 38.09, 102.09, 378, 50, 3, 422, 13487, 19648
25.70, 37.32, 102.09, 378, 49, 0, 413, 13493, 19648
25.65, 37.86, 102.09, 378, 50, 7, 416, 13489, 19646
25.69, 37.72, 102.09, 378, 48, 0, 415, 13490, 19643
25.67, 37.90, 102.09, 375, 48, 0, 420, 13491, 19643
25.69, 37.72, 102.09, 375, 49, 7, 409, 13489, 19648
25.69, 37.87, 102.09, 373, 49, 7, 409, 13495, 19652
25.69, 37.79, 102.09, 373, 50, 2, 407, 13498, 19645
25.69, 37.87, 102.09, 373, 49, 0, 405, 13494, 19656
25.70, 37.66, 102.09, 373, 49, 2, 410, 13493, 19650
25.69, 37.87, 102.09, 376, 47, 0, 405, 13502, 19653
25.72, 37.55, 102.09, 376, 50, 3, 400, 13496, 19655
25.69, 37.98, 102.09, 377, 50, 0, 407, 13496, 19650
25.67, 37.55, 102.09, 377, 50, 1, 406, 13497, 19649
25.67, 37.95, 102.09, 377, 48, 0, 400, 13491, 19650
25.70, 37.50, 102.09, 377, 47, 4, 407, 13495, 19655
25.67, 37.82, 102.09, 374, 49, 0, 402, 13492, 19653
25.69, 37.55, 102.09, 374, 47, 0, 403, 13495, 19656
25.69, 37.74, 102.09, 373, 49, 5, 411, 13491, 19644
25.69, 37.56, 102.09, 373, 49, 4, 402, 13496, 19660
25.69, 37.88, 102.09, 373, 49, 0, 400, 13497, 19667
25.72, 37.38, 102.09, 373, 45, 0, 400, 13496, 19665
25.74, 37.64, 102.09, 376, 49, 0, 400, 13496, 19661
25.69, 37.26, 102.09, 376, 48, 8, 400, 13497, 19654
25.72, 37.92, 102.09, 377, 50, 2, 404, 13495, 19652
25.69, 37.12, 102.09, 377, 46, 10, 400, 13498, 19648
25.69, 37.71, 102.09, 378, 48, 4, 400, 13498, 19653
25.70, 37.51, 102.09, 378, 49, 6, 405, 13499, 19656
25.70, 37.82, 102.09, 377, 51, 4, 400, 13502, 19657
25.72, 37.44, 102.09, 377, 49, 1, 404, 13497, 19663
25.70, 37.60, 102.09, 374, 50, 5, 404, 13506, 19660
25.70, 37.60, 102.09, 374, 49, 0, 403, 13501, 19664
25.70, 37.68, 102.09, 373, 49, 1, 400, 13502, 19656
25.72, 37.34, 102.09, 373, 50, 1, 400, 13503, 19659
25.72, 37.80, 102.09, 374, 49, 0, 410, 13499, 19660
25.72, 37.43, 102.09, 374, 49, 0, 405, 13503, 19667
