Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
23.22, 24.75, 102.83, 779, 31, 0, 400, 14542, 20189
23.26, 24.78, 102.83, 779, 31, 0, 400, 14538, 20206
23.20, 24.65, 102.83, 779, 32, 0, 400, 14545, 20204
23.18, 24.79, 102.82, 779, 31, 0, 404, 14547, 20212
23.26, 24.70, 102.83, 778, 30, 0, 411, 14548, 20222
23.24, 24.57, 102.82, 778, 30, 0, 400, 14554, 20229
23.24, 24.81, 102.82, 778, 30, 0, 400, 14555, 20244
23.22, 24.44, 102.82, 778, 29, 0, 408, 14552, 20240
23.26, 24.94, 102.82, 778, 31, 0, 406, 14550, 20240
23.26, 24.56, 102.83, 778, 29, 4, 402, 14549, 20242
23.18, 24.78, 102.82, 779, 30, 0, 403, 14551, 20254
23.26, 24.57, 102.83, 779, 31, 0, 400, 14554, 20261
23.13, 24.59, 102.83, 779, 30, 1, 405, 14556, 20262
23.15, 24.38, 102.83, 779, 32, 0, 400, 14559, 20282
23.15, 24.65, 102.83, 779, 29, 0, 400, 14558, 20288
23.15, 24.59, 102.83, 779, 29, 0, 400, 14562, 20293
23.18, 24.46, 102.83, 778, 29, 0, 407, 14562, 20298
23.18, 24.36, 102.83, 778, 28, 0, 411, 14562, 20300
23.20, 24.36, 102.83, 779, 29, 0, 400, 14559, 20304
23.22, 24.58, 102.83, 779, 29, 0, 403, 14563, 20311
23.18, 24.55, 102.83, 779, 29, 0, 404, 14558, 20305
23.15, 24.24, 102.82, 779, 29, 0, 412, 14563, 20317
23.18, 24.53, 102.83, 779, 28, 0, 400, 14563, 20328
23.20, 24.30, 102.83, 779, 27, 0, 409, 14564, 20325
23.15, 24.51, 102.83, 779, 29, 0, 408, 14562, 20329
23.17, 24.35, 102.83, 779, 29, 0, 400, 14567, 20345
23.17, 24.56, 102.83, 779, 29, 0, 406, 14567, 20348
23.18, 24.36, 102.83, 779, 27, 0, 408, 14572, 20361
23.15, 24.58, 102.83, 779, 27, 0, 400, 14565, 20362
23.17, 24.40, 102.83, 779, 28, 0, 405, 14572, 20360
23.17, 24.53, 102.83, 779, 26, 0, 402, 14573, 20372
23.13, 24.20, 102.83, 779, 28, 0, 414, 14574, 20372
23.11, 24.32, 102.83, 779, 29, 0, 405, 14574, 20375
23.11, 24.39, 102.83, 779, 28, 0, 400, 14577, 20391
23.13, 24.57, 102.83, 779, 28, 7, 405, 14575, 20390
23.13, 24.60, 102.83, 779, 27, 0, 400, 14575, 20394
23.11, 24.28, 102.82, 779, 26, 7, 411, 14580, 20394
23.11, 24.42, 102.83, 779, 26, 0, 400, 14581, 20402
23.11, 24.43, 102.82, 779, 26, 9, 401, 14585, 20422
23.08, 24.47, 102.82, 779, 27, 2, 405, 14583, 20407
23.13, 24.38, 102.82, 780, 27, 0, 400, 14579, 20421
23.11, 24.20, 102.82, 780, 28, 0, 406, 14579, 20419
23.09, 24.16, 102.82, 779, 27, 0, 400, 14582, 20428
23.13, 24.47, 102.82, 779, 27, 0, 401, 14575, 20421
23.09, 24.31, 102.83, 779, 26, 0, 400, 14585, 20440
23.11, 24.37, 102.82, 779, 25, 0, 400, 14582, 20439
23.04, 24.21, 102.82, 779, 27, 0, 400, 14589, 20447
23.02, 24.44, 102.82, 779, 27, 0, 412, 14586, 20446
23.06, 24.44, 102.83, 779, 25, 0, 413, 14585, 20445
23.02, 24.49, 102.83, 779, 27, 0, 411, 14581, 20444
23.00, 24.31, 102.82, 779, 27, 1, 411, 14584, 20452
22.99, 24.45, 102.82, 779, 23, 0, 405, 14590, 20459
22.97, 24.37, 102.83, 779, 23, 0, 400, 14592, 20457
22.99, 24.50, 102.83, 779, 26, 0, 400, 14587, 20461
23.00, 24.31, 102.83, 780, 26, 1, 400, 14587, 20461
22.99, 24.10, 102.82, 780, 26, 0, 404, 14587, 20461
22.97, 24.32, 102.83, 780, 25, 0, 404, 14592, 20478
23.00, 24.01, 102.82, 780, 27, 0, 400, 14599, 20488
23.00, 24.39, 102.83, 779, 27, 0, 400, 14596, 20492
22.95, 24.28, 102.82, 779, 24, 0, 400, 14595, 20491
23.00, 24.28, 102.83, 779, 26, 1, 408, 14599, 20495
22.88, 24.21, 102.82, 779, 26, 0, 400, 14600, 20500
22.95, 24.04, 102.82, 779, 25, 9, 416, 14602, 20503
22.97, 24.45, 102.82, 779, 26, 0, 401, 14608, 20512
22.90, 24.19, 102.83, 779, 26, 0, 400, 14603, 20513
