Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.97, 26.94, 102.47, 581, 21, 0, 400, 14429, 20870
25.97, 27.36, 102.47, 581, 21, 0, 400, 14437, 20869
25.97, 26.84, 102.48, 581, 21, 0, 400, 14432, 20871
25.94, 27.26, 102.48, 580, 20, 0, 400, 14432, 20868
25.99, 26.93, 102.48, 580, 23, 0, 400, 14431, 20875
25.94, 26.94, 102.48, 579, 19, 0, 400, 14428, 20872
25.96, 26.71, 102.48, 579, 22, 0, 400, 14434, 20886
25.96, 27.26, 102.48, 577, 20, 0, 400, 14430, 20876
25.97, 26.88, 102.48, 577, 23, 0, 400, 14430, 20873
25.96, 27.20, 102.48, 580, 21, 0, 400, 14435, 20872
25.97, 26.69, 102.48, 580, 21, 0, 400, 14439, 20876
25.96, 27.07, 102.48, 582, 22, 0, 400, 14439, 20888
25.96, 26.79, 102.48, 582, 18, 0, 400, 14447, 20894
25.96, 27.07, 102.48, 584, 21, 0, 400, 14441, 20896
25.96, 26.56, 102.48, 584, 21, 0, 400, 14441, 20896
25.97, 27.09, 102.48, 584, 22, 0, 400, 14435, 20892
25.99, 26.94, 102.48, 584, 22, 0, 400, 14442, 20890
25.94, 27.00, 102.48, 583, 20, 0, 400, 14436, 20891
25.92, 26.90, 102.48, 583, 21, 0, 400, 14431, 20887
25.96, 26.99, 102.48, 583, 21, 0, 400, 14435, 20895
25.94, 26.80, 102.48, 583, 21, 0, 400, 14435, 20894
25.96, 26.98, 102.48, 582, 22, 0, 400, 14435, 20885
25.94, 26.53, 102.48, 582, 21, 0, 400, 14436, 20899
25.94, 26.84, 102.48, 578, 22, 0, 400, 14433, 20897
25.96, 26.74, 102.48, 578, 21, 0, 400, 14431, 20897
25.96, 26.98, 102.48, 598, 20, 0, 400, 14433, 20898
25.96, 26.51, 102.48, 598, 23, 0, 400, 14434, 20904
25.92, 27.12, 102.48, 609, 22, 0, 400, 14426, 20899
25.96, 27.00, 102.48, 609, 21, 0, 400, 14430, 20907
25.94, 27.10, 102.48, 616, 22, 0, 400, 14435, 20897
25.96, 26.96, 102.48, 616, 21, 1, 400, 14435, 20905
25.96, 27.24, 102.48, 672, 23, 0, 406, 14431, 20908
25.96, 26.65, 102.48, 672, 23, 0, 400, 14437, 20908
25.96, 27.06, 102.48, 672, 24, 3, 402, 14435, 20916
25.96, 26.83, 102.48, 672, 21, 0, 400, 14432, 20908
25.94, 27.16, 102.48, 672, 21, 1, 405, 14439, 20917
25.99, 26.97, 102.48, 672, 20, 4, 400, 14430, 20912
25.97, 27.23, 102.48, 673, 21, 0, 410, 14431, 20921
25.99, 27.08, 102.48, 673, 22, 5, 408, 14434, 20923
25.92, 27.01, 102.48, 673, 22, 7, 400, 14430, 20921
25.92, 26.46, 102.48, 673, 22, 6, 418, 14422, 20915
25.96, 27.18, 102.48, 673, 22, 7, 420, 14421, 20918
25.96, 26.82, 102.48, 673, 21, 1, 411, 14427, 20910
25.99, 27.20, 102.48, 673, 20, 16, 431, 14415, 20905
25.96, 26.46, 102.48, 673, 22, 12, 423, 14424, 20915
25.94, 27.13, 102.48, 673, 21, 13, 421, 14425, 20913
25.96, 26.57, 102.48, 673, 22, 11, 422, 14417, 20910
25.96, 26.81, 102.48, 673, 21, 13, 414, 14425, 20907
25.94, 26.83, 102.48, 673, 23, 3, 415, 14422, 20912
25.96, 26.94, 102.48, 673, 22, 8, 423, 14422, 20913
25.94, 26.75, 102.48, 673, 22, 11, 415, 14411, 20911
25.96, 26.94, 102.48, 674, 20, 6, 413, 14427, 20920
25.94, 27.00, 102.48, 674, 21, 9, 422, 14428, 20916
