Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.92, 28.68, 102.48, 136, 24, 12, 417, 14273, 20710
25.88, 28.59, 102.48, 130, 24, 11, 408, 14272, 20712
25.92, 28.50, 102.48, 130, 24, 11, 411, 14267, 20707
25.88, 28.50, 102.48, 134, 24, 10, 412, 14262, 20704
25.90, 28.11, 102.48, 134, 25, 8, 409, 14272, 20715
25.90, 28.45, 102.48, 131, 22, 13, 417, 14256, 20700
25.92, 28.24, 102.49, 131, 24, 15, 410, 14261, 20703
25.90, 28.25, 102.48, 132, 24, 9, 415, 14268, 20696
25.88, 28.16, 102.48, 132, 24, 10, 409, 14265, 20702
25.88, 28.26, 102.49, 134, 23, 16, 417, 14260, 20697
25.87, 28.39, 102.48, 134, 23, 9, 411, 14259, 20699
25.88, 28.36, 102.48, 130, 24, 8, 404, 14261, 20701
25.92, 28.44, 102.48, 130, 23, 14, 411, 14256, 20702
25.88, 28.30, 102.49, 135, 23, 16, 415, 14259, 20696
25.90, 28.44, 102.49, 135, 25, 17, 412, 14256, 20699
25.90, 27.99, 102.49, 130, 23, 14, 412, 14256, 20696
25.88, 28.31, 102.48, 130, 24, 19, 421, 14254, 20693
25.90, 28.33, 102.48, 137, 24, 13, 412, 14263, 20704
25.90, 27.86, 102.48, 137, 24, 17, 410, 14259, 20687
25.88, 28.14, 102.48, 128, 23, 16, 402, 14256, 20698
25.87, 28.31, 102.48, 128, 24, 16, 412, 14255, 20691
25.87, 28.21, 102.48, 138, 24, 13, 402, 14259, 20700
25.88, 27.91, 102.49, 138, 24, 13, 410, 14260, 20698
25.87, 27.95, 102.48, 128, 23, 12, 404, 14259, 20695
25.85, 27.77, 102.48, 128, 23, 12, 412, 14260, 20700
25.85, 28.04, 102.49, 137, 24, 9, 412, 14261, 20709
25.85, 27.85, 102.48, 137, 23, 13, 413, 14254, 20706
25.85, 28.10, 102.48, 131, 21, 14, 415, 14254, 20693
25.85, 27.82, 102.48, 131, 23, 11, 406, 14254, 20697
25.88, 28.14, 102.48, 140, 22, 15, 410, 14254, 20702
25.85, 27.75, 102.48, 140, 24, 17, 411, 14252, 20697
25.87, 28.13, 102.48, 132, 23, 15, 411, 14252, 20692
25.87, 28.22, 102.48, 132, 24, 20, 415, 14256, 20703
25.83, 27.86, 102.48, 138, 22, 19, 418, 14249, 20686
25.87, 27.79, 102.48, 138, 22, 13, 406, 14252, 20689
25.85, 27.81, 102.48, 135, 23, 19, 408, 14251, 20693
25.83, 27.74, 102.48, 135, 24, 18, 409, 14257, 20693
25.85, 28.09, 102.48, 135, 23, 15, 409, 14259, 20694
25.83, 28.12, 102.48, 135, 23, 15, 411, 14255, 20693
25.83, 27.86, 102.48, 137, 23, 20, 403, 14254, 20697
25.87, 27.74, 102.48, 137, 23, 19, 406, 14258, 20688
25.87, 27.86, 102.48, 133, 21, 15, 408, 14252, 20695
25.85, 27.76, 102.49, 133, 23, 21, 413, 14254, 20692
25.87, 27.57, 102.48, 139, 22, 16, 401, 14257, 20694
25.83, 27.82, 102.48, 139, 23, 19, 406, 14252, 20699
25.87, 27.79, 102.48, 131, 22, 18, 409, 14252, 20685
25.83, 27.42, 102.48, 131, 24, 18, 405, 14258, 20690
25.83, 27.70, 102.48, 141, 23, 15, 400, 14257, 20697
25.85, 27.45, 102.48, 141, 22, 18, 407, 14254, 20691
25.83, 27.74, 102.49, 130, 22, 20, 400, 14256, 20681
25.85, 27.76, 102.48, 130, 23, 16, 409, 14258, 20692
25.78, 27.68, 102.48, 141, 22, 18, 411, 14254, 20685
25.81, 27.81, 102.49, 141, 23, 19, 407, 14260, 20689
25.81, 27.68, 102.48, 131, 23, 16, 405, 14261, 20695
25.85, 27.60, 102.48, 131, 22, 20, 407, 14264, 20690
25.87, 27.54, 102.48, 139, 24, 19, 400, 14261, 20686
25.85, 27.37, 102.48, 139, 24, 18, 400, 14261, 20696
25.85, 27.71, 102.48, 133, 24, 22, 413, 14259, 20692
25.83, 27.46, 102.48, 133, 24, 17, 402, 14256, 20684
25.87, 27.80, 102.48, 138, 22, 22, 403, 14259, 20687
25.85, 27.74, 102.48, 138, 22, 20, 402, 14263, 20683
25.79, 27.52, 102.48, 135, 24, 15, 400, 14266, 20695
25.83, 27.33, 102.48, 135, 21, 16, 405, 14268, 20696
25.79, 27.51, 102.48, 136, 23, 18, 412, 14266, 20693
25.83, 27.65, 102.48, 136, 23, 13, 406, 14262, 20696
25.79, 27.52, 102.48, 136, 23, 19, 412, 14257, 20683
25.85, 27.39, 102.48, 136, 24, 21, 413, 14256, 20682
25.78, 27.63, 102.49, 135, 24, 24, 418, 14254, 20670
25.81, 27.56, 102.48, 135, 24, 21, 411, 14259, 20686
25.83, 27.50, 102.48, 132, 24, 25, 416, 14255, 20678
25.79, 27.39, 102.48, 132, 23, 25, 410, 14255, 20681
25.79, 27.34, 102.48, 131, 22, 26, 411, 14252, 20674
25.83, 27.42, 102.48, 131, 22, 17, 410, 14265, 20689
25.81, 27.42, 102.48, 142, 24, 23, 409, 14258, 20674
25.79, 27.60, 102.48, 142, 23, 17, 400, 14260, 20687
25.81, 27.61, 102.48, 131, 21, 20, 409, 14261, 20698
