Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
26.19, 22.23, 102.50, 1520, 25, 111, 400, 14234, 20697
26.21, 22.48, 102.50, 1521, 27, 104, 400, 14238, 20696
26.19, 22.37, 102.49, 1521, 25, 113, 401, 14244, 20698
26.19, 22.34, 102.50, 1523, 24, 107, 403, 14237, 20693
26.17, 21.92, 102.50, 1523, 25, 110, 400, 14242, 20696
26.19, 22.45, 102.49, 1523, 25, 110, 403, 14235, 20697
26.21, 22.18, 102.49, 1523, 24, 107, 401, 14239, 20697
26.19, 22.38, 102.49, 1523, 23, 105, 404, 14246, 20704
26.19, 22.44, 102.49, 1523, 24, 105, 411, 14235, 20688
26.17, 22.57, 102.50, 1523, 24, 111, 404, 14231, 20674
26.19, 22.35, 102.50, 1523, 26, 111, 401, 14233, 20682
26.17, 22.61, 102.50, 1523, 24, 115, 401, 14237, 20687
26.19, 22.13, 102.49, 1523, 27, 113, 400, 14241, 20690
26.19, 22.40, 102.49, 1523, 24, 106, 400, 14248, 20700
26.19, 22.41, 102.49, 1523, 26, 103, 400, 14250, 20702
26.21, 22.56, 102.49, 1523, 26, 112, 400, 14242, 20693
26.19, 22.40, 102.49, 1523, 26, 115, 400, 14242, 20696
26.15, 22.60, 102.49, 1523, 26, 110, 400, 14244, 20686
26.15, 22.45, 102.49, 1523, 26, 110, 400, 14238, 20689
26.15, 22.44, 102.50, 1523, 25, 112, 400, 14238, 20684
26.17, 22.41, 102.50, 1523, 25, 111, 400, 14237, 20691
26.15, 22.42, 102.50, 1523, 26, 114, 400, 14241, 20685
26.12, 22.05, 102.50, 1523, 25, 110, 400, 14244, 20699
26.15, 22.40, 102.50, 1522, 25, 109, 400, 14243, 20691
26.08, 22.21, 102.50, 1522, 26, 105, 400, 14244, 20689
26.15, 22.43, 102.49, 1524, 25, 106, 400, 14245, 20692
26.14, 22.03, 102.50, 1524, 25, 109, 402, 14243, 20699
26.15, 22.62, 102.50, 1524, 27, 109, 400, 14241, 20692
26.14, 22.51, 102.50, 1524, 25, 111, 400, 14249, 20704
26.12, 22.61, 102.50, 1524, 26, 109, 400, 14254, 20701
26.15, 22.07, 102.50, 1524, 26, 106, 400, 14244, 20692
26.12, 22.68, 102.49, 1525, 24, 107, 400, 14240, 20691
26.15, 22.36, 102.49, 1525, 26, 106, 400, 14250, 20700
26.15, 22.43, 102.49, 1525, 25, 106, 400, 14244, 20693
26.08, 22.32, 102.50, 1525, 25, 103, 400, 14241, 20696
26.14, 22.57, 102.50, 1525, 28, 110, 400, 14237, 20692
26.12, 22.39, 102.50, 1525, 25, 106, 400, 14241, 20689
26.15, 22.44, 102.49, 1524, 25, 111, 400, 14247, 20689
26.10, 22.04, 102.50, 1524, 24, 109, 400, 14242, 20692
26.12, 22.64, 102.49, 1524, 25, 113, 400, 14241, 20694
26.12, 22.46, 102.50, 1524, 25, 111, 400, 14240, 20679
26.10, 22.47, 102.50, 1525, 26, 110, 400, 14242, 20687
26.12, 22.35, 102.50, 1525, 26, 105, 400, 14244, 20691
26.10, 22.55, 102.50, 1524, 26, 109, 400, 14243, 20689
26.10, 22.61, 102.50, 1524, 25, 112, 400, 14243, 20693
26.12, 22.39, 102.49, 1524, 29, 109, 400, 14248, 20696
26.14, 22.28, 102.49, 1524, 25, 100, 400, 14245, 20704
26.08, 22.54, 102.50, 1524, 23, 107, 400, 14245, 20690
26.12, 22.15, 102.50, 1524, 23, 107, 403, 14239, 20689
26.15, 22.66, 102.50, 1523, 26, 107, 400, 14243, 20685
26.10, 22.52, 102.50, 1523, 25, 110, 400, 14244, 20689
26.10, 22.43, 102.50, 1523, 25, 115, 401, 14241, 20684
26.08, 22.07, 102.50, 1523, 24, 108, 400, 14245, 20692
26.12, 22.42, 102.50, 1523, 26, 106, 400, 14240, 20689
26.08, 22.34, 102.50, 1523, 25, 102, 400, 14243, 20686
26.10, 22.47, 102.50, 1524, 24, 105, 400, 14243, 20690
26.10, 22.44, 102.50, 1524, 25, 106, 400, 14239, 20685
26.12, 22.45, 102.49, 1523, 26, 108, 400, 14240, 20688
26.08, 22.31, 102.50, 1523, 26, 113, 402, 14235, 20675
26.10, 22.62, 102.50, 1522, 26, 109, 400, 14247, 20679
26.05, 21.85, 102.50, 1522, 24, 111, 400, 14240, 20678
26.08, 22.50, 102.50, 1522, 26, 115, 400, 14242, 20686
26.10, 22.36, 102.50, 1522, 28, 109, 400, 14245, 20698
26.10, 22.41, 102.50, 1522, 25, 111, 400, 14249, 20692
26.06, 22.32, 102.50, 1522, 26, 110, 400, 14249, 20688
26.06, 22.47, 102.50, 1523, 25, 109, 408, 14245, 20685
26.08, 22.07, 102.50, 1523, 26, 108, 400, 14250, 20693
26.10, 22.56, 102.50, 1523, 24, 108, 400, 14248, 20691
26.08, 22.25, 102.50, 1523, 24, 111, 400, 14249, 20696
26.06, 22.51, 102.50, 1522, 26, 108, 400, 14245, 20686
26.14, 22.47, 102.50, 1522, 26, 109, 400, 14241, 20682
26.10, 22.53, 102.50, 1521, 26, 105, 400, 14246, 20695
26.10, 22.43, 102.50, 1521, 27, 107, 401, 14244, 20697
26.06, 22.64, 102.50, 1521, 24, 108, 402, 14244, 20688
26.08, 22.33, 102.50, 1521, 26, 105, 400, 14247, 20697
26.05, 22.47, 102.50, 1520, 21, 112, 400, 14244, 20695
26.08, 22.35, 102.50, 1520, 25, 107, 400, 14242, 20680
26.05, 22.57, 102.50, 1519, 26, 106, 400, 14245, 20687
26.06, 22.18, 102.50, 1519, 27, 108, 400, 14250, 20686
26.05, 22.53, 102.50, 1519, 23, 107, 400, 14249, 20692
26.06, 22.09, 102.50, 1519, 25, 109, 400, 14245, 20692
26.05, 22.60, 102.50, 1520, 28, 104, 400, 14244, 20689
26.06, 22.24, 102.50, 1520, 26, 110, 400, 14251, 20696
26.06, 22.45, 102.50, 1520, 25, 106, 400, 14248, 20691
26.06, 22.03, 102.50, 1520, 25, 111, 400, 14249, 20688
26.06, 22.63, 102.50, 1519, 25, 104, 400, 14247, 20692
26.10, 22.25, 102.50, 1519, 29, 101, 400, 14246, 20695
26.06, 22.57, 102.50, 1519, 26, 97, 400, 14251, 20697
26.08, 22.14, 102.50, 1519, 26, 103, 400, 14248, 20689
26.06, 22.52, 102.50, 1518, 24, 98, 400, 14250, 20700
26.05, 22.06, 102.50, 1518, 24, 88, 400, 14248, 20708
26.06, 22.62, 102.50, 1519, 25, 98, 400, 14244, 20703
26.06, 22.29, 102.50, 1519, 26, 97, 400, 14249, 20709
26.06, 22.45, 102.50, 1519, 27, 102, 400, 14247, 20706
26.01, 22.35, 102.50, 1519, 25, 106, 400, 14242, 20692
26.06, 22.53, 102.50, 1518, 25, 102, 400, 14244, 20699
26.05, 22.07, 102.50, 1518, 25, 100, 400, 14243, 20698
26.05, 22.61, 102.50, 1518, 26, 105, 400, 14246, 20687
26.05, 22.57, 102.51, 1518, 25, 107, 400, 14239, 20683
26.05, 22.73, 102.50, 1517, 27, 100, 400, 14246, 20691
26.05, 22.51, 102.50, 1517, 26, 104, 400, 14238, 20689
26.05, 22.71, 102.50, 1517, 27, 106, 400, 14246, 20691
26.05, 22.41, 102.50, 1517, 26, 103, 400, 14251, 20693
26.05, 22.52, 102.50, 1518, 25, 103, 400, 14250, 20703
26.05, 22.41, 102.50, 1518, 25, 96, 400, 14248, 20705
26.06, 22.63, 102.50, 1517, 25, 100, 400, 14247, 20704
26.03, 22.24, 102.50, 1517, 26, 94, 400, 14244, 20702
26.03, 22.69, 102.50, 1514, 26, 95, 400, 14243, 20701
26.05, 22.31, 102.50, 1514, 25, 101, 400, 14245, 20701
26.05, 22.48, 102.50, 1515, 25, 98, 400, 14244, 20703
26.05, 21.99, 102.51, 1515, 25, 97, 400, 14241, 20701
26.05, 22.56, 102.50, 1513, 26, 104, 400, 14239, 20690
26.06, 22.34, 102.51, 1513, 25, 104, 400, 14239, 20696
26.05, 22.71, 102.50, 1514, 25, 106, 407, 14236, 20688
26.03, 22.44, 102.50, 1514, 25, 106, 401, 14243, 20696
26.03, 22.66, 102.50, 1516, 25, 98, 400, 14242, 20692
26.01, 22.00, 102.50, 1516, 25, 97, 400, 14251, 20705
26.01, 22.49, 102.50, 1513, 26, 98, 400, 14246, 20705
26.01, 22.16, 102.50, 1513, 26, 95, 400, 14247, 20692
26.03, 22.49, 102.50, 1516, 27, 99, 400, 14246, 20698
26.03, 22.09, 102.51, 1516, 26, 99, 400, 14239, 20691
26.03, 22.64, 102.50, 1517, 22, 102, 400, 14241, 20702
26.05, 22.60, 102.50, 1517, 26, 95, 400, 14248, 20698
26.03, 22.56, 102.50, 1515, 25, 103, 401, 14250, 20700
26.03, 22.25, 102.50, 1515, 26, 98, 400, 14243, 20694
26.05, 22.66, 102.50, 1512, 25, 104, 400, 14239, 20695
26.01, 22.37, 102.50, 1512, 26, 106, 403, 14244, 20695
26.03, 22.64, 102.50, 1499, 26, 101, 400, 14244, 20694
26.03, 22.41, 102.50, 1499, 26, 98, 400, 14245, 20696
26.03, 22.43, 102.51, 1496, 28, 101, 400, 14246, 20696
25.97, 22.61, 102.50, 1496, 26, 100, 400, 14245, 20697
26.03, 22.43, 102.50, 1482, 26, 106, 402, 14237, 20690
26.01, 22.29, 102.51, 1482, 26, 101, 400, 14236, 20690
25.99, 22.71, 102.50, 1491, 26, 102, 400, 14243, 20690
26.03, 22.56, 102.50, 1491, 24, 103, 400, 14245, 20694
26.05, 22.71, 102.51, 1484, 28, 105, 400, 14242, 20685
26.01, 22.26, 102.50, 1484, 25, 107, 400, 14239, 20684
26.03, 22.64, 102.51, 1483, 25, 108, 400, 14237, 20680
26.03, 22.25, 102.50, 1483, 24, 105, 400, 14237, 20681
26.03, 22.61, 102.51, 1491, 26, 104, 400, 14243, 20687
26.01, 22.50, 102.50, 1491, 26, 105, 406, 14238, 20686
26.01, 22.73, 102.50, 1467, 24, 107, 407, 14237, 20682
26.01, 22.69, 102.50, 1467, 26, 103, 406, 14233, 20681
26.01, 22.69, 102.50, 1471, 26, 107, 405, 14236, 20685
26.01, 22.48, 102.50, 1471, 26, 104, 400, 14239, 20685
26.01, 22.69, 102.50, 1479, 26, 103, 402, 14238, 20687
26.01, 22.59, 102.50, 1479, 29, 110, 411, 14231, 20684
25.97, 22.53, 102.50, 1448, 27, 109, 402, 14237, 20680
26.01, 22.43, 102.50, 1448, 25, 107, 403, 14234, 20679
26.01, 22.87, 102.50, 1449, 26, 109, 406, 14232, 20685
25.99, 22.48, 102.50, 1449, 27, 105, 405, 14236, 20685
25.99, 22.61, 102.50, 1419, 21, 109, 404, 14238, 20690
25.99, 22.02, 102.50, 1419, 26, 107, 403, 14241, 20689
26.01, 22.64, 102.50, 1430, 26, 108, 405, 14239, 20695
26.03, 22.54, 102.50, 1430, 26, 107, 402, 14235, 20680
25.99, 22.55, 102.50, 1427, 25, 103, 402, 14233, 20682
25.99, 22.47, 102.50, 1427, 26, 110, 403, 14228, 20682
26.03, 22.69, 102.50, 1427, 24, 109, 411, 14234, 20677
26.01, 22.37, 102.50, 1427, 25, 102, 407, 14239, 20684
26.01, 22.69, 102.50, 1416, 25, 106, 403, 14233, 20675
25.99, 22.41, 102.50, 1416, 26, 106, 400, 14237, 20684
26.01, 22.66, 102.50, 1456, 26, 104, 400, 14237, 20685
25.99, 22.11, 102.50, 1456, 25, 109, 405, 14234, 20680
26.01, 22.62, 102.50, 1460, 24, 107, 400, 14237, 20680
25.96, 22.40, 102.50, 1460, 25, 102, 404, 14239, 20680
25.99, 22.59, 102.50, 1469, 25, 105, 400, 14234, 20683
25.99, 22.51, 102.50, 1469, 26, 105, 400, 14232, 20674
25.97, 22.44, 102.50, 1479, 26, 103, 400, 14234, 20682
25.97, 22.42, 102.50, 1479, 24, 108, 400, 14237, 20682
25.97, 22.71, 102.50, 1480, 26, 108, 400, 14240, 20685
