Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
29.47, 17.11, 102.48, 2066, 24, 330, 412, 14312, 20746
29.50, 17.30, 102.48, 2066, 24, 334, 417, 14308, 20740
29.50, 17.30, 102.48, 2035, 24, 322, 401, 14315, 20744
29.48, 17.28, 102.48, 2035, 23, 328, 412, 14308, 20735
29.50, 17.10, 102.48, 2045, 26, 337, 410, 14309, 20737
29.52, 17.10, 102.48, 2045, 24, 334, 406, 14312, 20729
29.52, 17.10, 102.48, 2032, 24, 336, 420, 14307, 20731
29.54, 16.86, 102.48, 2032, 22, 334, 408, 14307, 20733
29.57, 17.06, 102.48, 2042, 24, 331, 407, 14310, 20734
29.59, 17.12, 102.48, 2042, 25, 347, 412, 14306, 20728
29.57, 17.09, 102.48, 2054, 24, 338, 412, 14302, 20728
29.59, 17.15, 102.48, 2054, 24, 361, 424, 14294, 20722
29.57, 17.00, 102.48, 2040, 24, 345, 422, 14302, 20725
29.61, 16.93, 102.48, 2040, 24, 348, 421, 14293, 20722
29.59, 16.95, 102.48, 2047, 24, 350, 430, 14293, 20716
29.65, 16.77, 102.48, 2047, 25, 359, 433, 14289, 20719
29.61, 16.97, 102.48, 2046, 23, 370, 442, 14279, 20698
29.57, 16.72, 102.48, 2046, 24, 374, 439, 14284, 20701
29.61, 16.88, 102.48, 2040, 25, 369, 430, 14289, 20711
29.61, 16.65, 102.48, 2040, 25, 367, 433, 14288, 20701
29.57, 16.76, 102.48, 2038, 24, 377, 435, 14283, 20698
29.61, 16.65, 102.48, 2038, 25, 377, 430, 14291, 20700
29.65, 16.96, 102.48, 2041, 24, 383, 434, 14287, 20700
29.63, 16.83, 102.48, 2041, 23, 377, 432, 14286, 20695
29.61, 16.76, 102.48, 2030, 24, 395, 432, 14290, 20696
29.63, 16.69, 102.48, 2030, 25, 382, 422, 14291, 20695
29.65, 16.93, 102.48, 2035, 22, 382, 422, 14297, 20697
29.63, 16.78, 102.48, 2035, 24, 383, 419, 14289, 20691
29.63, 16.64, 102.48, 2023, 25, 382, 424, 14286, 20694
29.66, 16.75, 102.48, 2023, 26, 385, 427, 14293, 20691
29.66, 16.96, 102.48, 2119, 24, 382, 427, 14283, 20680
29.66, 16.67, 102.48, 2119, 24, 393, 426, 14291, 20684
29.66, 15.58, 102.48, 2115, 26, 394, 425, 14282, 20677
29.65, 16.93, 102.48, 2115, 24, 398, 425, 14291, 20680
29.68, 16.74, 102.48, 2099, 24, 402, 431, 14286, 20680
29.66, 17.06, 102.48, 2099, 25, 414, 427, 14290, 20671
29.70, 16.95, 102.48, 2109, 25, 411, 430, 14284, 20670
29.70, 17.14, 102.48, 2109, 25, 421, 425, 14287, 20668
29.70, 17.24, 102.48, 2150, 24, 410, 416, 14294, 20676
29.72, 17.36, 102.48, 2150, 24, 411, 421, 14284, 20667
29.72, 17.38, 102.48, 2149, 23, 415, 421, 14289, 20664
29.75, 17.31, 102.48, 2149, 25, 405, 422, 14291, 20672
29.75, 17.47, 102.48, 2126, 24, 425, 422, 14284, 20663
29.74, 17.14, 102.48, 2126, 21, 418, 422, 14279, 20660
29.75, 17.36, 102.48, 2127, 24, 419, 429, 14279, 20653
29.74, 17.29, 102.48, 2127, 25, 434, 433, 14278, 20660
29.77, 17.29, 102.48, 2238, 22, 437, 439, 14274, 20652
29.75, 17.50, 102.48, 2238, 25, 438, 444, 14268, 20656
29.79, 17.34, 102.48, 2358, 24, 430, 441, 14272, 20653
29.75, 17.34, 102.48, 2358, 24, 437, 452, 14266, 20650
29.77, 17.31, 102.48, 2218, 26, 442, 450, 14256, 20645
29.83, 17.51, 102.48, 2218, 23, 436, 455, 14263, 20648
29.81, 17.13, 102.48, 2225, 25, 435, 448, 14261, 20645
29.79, 17.22, 102.48, 2225, 24, 443, 453, 14261, 20644
29.81, 17.24, 102.48, 2235, 25, 433, 447, 14267, 20645
29.83, 17.24, 102.48, 2235, 24, 437, 443, 14267, 20644
29.86, 17.39, 102.48, 2232, 24, 442, 440, 14263, 20639
29.81, 17.30, 102.48, 2232, 24, 443, 442, 14270, 20648
29.84, 17.19, 102.48, 2227, 25, 446, 449, 14263, 20641
29.84, 17.31, 102.48, 2227, 24, 449, 446, 14258, 20631
29.84, 17.28, 102.48, 2228, 25, 448, 447, 14261, 20627
29.84, 17.16, 102.48, 2228, 23, 462, 447, 14261, 20622
29.86, 17.25, 102.48, 2232, 24, 464, 453, 14258, 20619
29.84, 17.25, 102.48, 2232, 24, 461, 443, 14263, 20626
29.84, 17.26, 102.48, 2218, 25, 470, 448, 14259, 20620
29.86, 17.34, 102.48, 2218, 22, 466, 445, 14266, 20612
29.86, 17.51, 102.48, 2358, 24, 460, 432, 14268, 20623
29.88, 17.23, 102.48, 2358, 26, 468, 438, 14270, 20624
29.88, 17.06, 102.48, 2359, 23, 468, 435, 14271, 20627
29.90, 16.97, 102.48, 2359, 24, 458, 431, 14267, 20618
29.92, 17.08, 102.48, 2368, 24, 471, 435, 14267, 20620
29.88, 17.09, 102.48, 2368, 25, 483, 433, 14264, 20607
29.92, 17.25, 102.48, 2453, 23, 480, 438, 14266, 20607
29.93, 16.58, 102.48, 2453, 25, 478, 433, 14271, 20610
29.92, 16.70, 102.48, 2516, 22, 470, 422, 14275, 20612
29.95, 16.41, 102.48, 2516, 22, 478, 429, 14269, 20612
29.93, 16.46, 102.48, 2663, 23, 478, 433, 14267, 20609
29.97, 15.62, 102.48, 2663, 22, 470, 422, 14273, 20609
29.95, 15.72, 102.49, 2506, 23, 486, 430, 14272, 20608
29.97, 16.29, 102.48, 2506, 25, 468, 418, 14273, 20609
29.97, 16.40, 102.48, 2469, 24, 494, 425, 14269, 20603
30.02, 16.42, 102.48, 2469, 25, 485, 430, 14270, 20601
30.01, 16.61, 102.48, 2471, 24, 494, 431, 14272, 20606
29.97, 16.43, 102.48, 2471, 25, 496, 422, 14273, 20600
29.95, 16.79, 102.48, 2472, 24, 489, 424, 14272, 20599
30.02, 16.32, 102.48, 2472, 22, 493, 417, 14270, 20597
29.99, 15.96, 102.48, 2541, 25, 497, 422, 14273, 20596
29.97, 15.68, 102.48, 2541, 25, 506, 424, 14269, 20592
30.01, 15.17, 102.48, 2649, 25, 501, 423, 14269, 20591
30.04, 15.28, 102.48, 2649, 24, 498, 417, 14269, 20584
30.04, 16.21, 102.48, 2540, 25, 496, 417, 14268, 20592
30.02, 16.55, 102.48, 2540, 22, 501, 420, 14267, 20575
30.02, 16.75, 102.48, 2428, 20, 516, 422, 14266, 20575
30.02, 16.72, 102.48, 2428, 23, 512, 421, 14266, 20582
30.02, 16.76, 102.48, 2392, 23, 506, 420, 14270, 20579
30.04, 16.54, 102.48, 2392, 24, 519, 429, 14265, 20573
30.04, 16.89, 102.48, 2276, 23, 522, 419, 14267, 20573
30.04, 16.61, 102.48, 2276, 24, 513, 412, 14267, 20565
30.02, 16.57, 102.48, 2168, 25, 521, 419, 14268, 20573
30.08, 16.46, 102.48, 2168, 25, 523, 417, 14269, 20578
30.08, 16.49, 102.48, 2144, 25, 519, 412, 14275, 20571
30.06, 16.31, 102.48, 2144, 25, 510, 409, 14278, 20582
30.08, 16.51, 102.48, 2160, 22, 511, 408, 14274, 20577
30.08, 16.30, 102.48, 2160, 23, 505, 400, 14282, 20578
30.10, 16.24, 102.48, 2166, 24, 516, 408, 14274, 20577
30.11, 16.25, 102.48, 0, 25, 521, 414, 14269, 20570
30.10, 16.20, 102.48, 2151, 24, 523, 414, 14277, 20576
30.10, 16.36, 102.48, 2151, 25, 519, 410, 14271, 20578
30.10, 16.26, 102.48, 2142, 25, 519, 413, 14272, 20573
30.11, 16.07, 102.48, 2142, 24, 514, 417, 14272, 20562
30.11, 16.10, 102.48, 2145, 25, 524, 417, 14270, 20567
30.13, 16.09, 102.48, 2145, 23, 524, 417, 14271, 20560
