Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.22, 24.88, 102.41, 1495, 21, 29, 400, 14338, 21009
25.20, 24.42, 102.40, 1495, 21, 28, 400, 14338, 21009
25.22, 25.01, 102.41, 1489, 19, 27, 400, 14338, 21007
25.25, 24.88, 102.40, 1489, 22, 25, 400, 14329, 21000
25.22, 25.16, 102.41, 1474, 22, 29, 405, 14326, 20998
25.25, 24.75, 102.41, 1474, 21, 27, 408, 14325, 20992
25.25, 25.01, 102.40, 1490, 22, 25, 404, 14332, 20996
25.24, 24.83, 102.41, 1490, 22, 25, 400, 14325, 21003
25.24, 25.08, 102.41, 1499, 22, 25, 404, 14331, 21009
25.24, 24.49, 102.41, 1499, 22, 29, 403, 14327, 21002
25.27, 24.92, 102.41, 1468, 22, 23, 400, 14329, 21005
25.22, 24.66, 102.41, 1468, 22, 25, 406, 14327, 20997
25.24, 24.97, 102.40, 1426, 20, 28, 407, 14327, 21003
25.25, 24.65, 102.40, 1426, 20, 26, 400, 14332, 21009
25.27, 24.88, 102.41, 1440, 22, 33, 405, 14321, 20997
25.25, 24.71, 102.41, 1440, 21, 31, 401, 14321, 20993
25.25, 25.08, 102.41, 1473, 21, 24, 400, 14332, 21000
25.25, 24.47, 102.40, 1473, 21, 26, 403, 14332, 21005
25.25, 24.85, 102.41, 1475, 21, 25, 401, 14328, 21004
25.24, 24.26, 102.40, 1475, 20, 28, 402, 14327, 21006
