Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
29.57, 28.46, 102.22, 776, 22, 0, 400, 14232, 19866
29.56, 28.61, 102.22, 776, 20, 0, 400, 14238, 19872
29.56, 28.68, 102.22, 777, 22, 0, 400, 14230, 19877
29.57, 28.57, 102.22, 777, 20, 3, 400, 14231, 19874
29.59, 28.75, 102.22, 777, 22, 6, 400, 14227, 19864
29.57, 28.65, 102.22, 777, 21, 1, 400, 14229, 19872
29.61, 28.79, 102.22, 777, 21, 5, 400, 14231, 19860
29.56, 28.66, 102.22, 777, 21, 2, 400, 14233, 19869
29.56, 28.67, 102.22, 777, 21, 8, 400, 14231, 19869
29.61, 28.67, 102.22, 777, 19, 1, 400, 14239, 19873
29.61, 28.79, 102.22, 777, 22, 5, 400, 14237, 19867
29.57, 28.71, 102.22, 777, 20, 1, 400, 14234, 19872
29.54, 28.53, 102.22, 777, 21, 4, 400, 14207, 19867
29.54, 28.59, 102.22, 777, 24, 8, 400, 14170, 19854
29.56, 28.71, 102.22, 778, 22, 15, 412, 14149, 19860
29.57, 28.66, 102.22, 778, 20, 15, 433, 14137, 19848
29.57, 28.72, 102.22, 777, 21, 17, 422, 14140, 19846
29.57, 28.95, 102.22, 777, 21, 12, 421, 14145, 19848
29.57, 29.12, 102.22, 777, 21, 12, 418, 14148, 19857
29.59, 28.71, 102.22, 777, 21, 14, 412, 14146, 19851
29.56, 28.73, 102.22, 776, 22, 13, 405, 14151, 19855
29.59, 28.74, 102.22, 776, 22, 12, 400, 14169, 19858
29.57, 28.72, 102.22, 777, 23, 11, 400, 14175, 19852
29.56, 28.87, 102.22, 777, 23, 13, 400, 14179, 19857
29.59, 28.65, 102.22, 777, 22, 10, 400, 14192, 19854
29.59, 28.67, 102.22, 777, 23, 8, 400, 14199, 19858
29.56, 28.84, 102.22, 777, 22, 13, 400, 14210, 19861
29.54, 28.91, 102.22, 777, 22, 2, 400, 14207, 19869
