Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.85, 33.09, 102.13, 158, 47, 0, 400, 13838, 19540
25.81, 33.34, 102.13, 160, 46, 0, 410, 13838, 19550
25.85, 32.98, 102.13, 160, 47, 1, 420, 13842, 19546
25.83, 33.50, 102.13, 167, 47, 0, 404, 13840, 19552
25.79, 33.07, 102.14, 167, 46, 10, 402, 13839, 19558
25.85, 33.63, 102.13, 176, 46, 5, 406, 13842, 19557
25.87, 33.41, 102.13, 176, 44, 5, 400, 13845, 19566
25.85, 33.61, 102.13, 176, 46, 1, 406, 13843, 19569
25.87, 33.01, 102.13, 176, 44, 0, 400, 13850, 19570
25.85, 33.59, 102.14, 165, 47, 0, 404, 13841, 19575
25.85, 33.55, 102.13, 165, 45, 1, 403, 13843, 19584
25.87, 33.73, 102.13, 157, 45, 0, 404, 13846, 19576
25.85, 33.58, 102.13, 157, 43, 5, 400, 13842, 19570
25.90, 33.79, 102.13, 162, 45, 0, 400, 13843, 19585
25.88, 33.28, 102.13, 162, 46, 0, 400, 13837, 19583
25.90, 33.89, 102.13, 170, 45, 0, 410, 13835, 19589
25.88, 33.26, 102.13, 170, 45, 3, 421, 13829, 19589
25.88, 33.56, 102.13, 178, 44, 3, 424, 13826, 19589
25.88, 33.45, 102.13, 178, 45, 0, 435, 13823, 19589
25.88, 33.71, 102.13, 175, 45, 2, 435, 13823, 19590
25.88, 33.64, 102.13, 175, 43, 0, 434, 13820, 19597
25.87, 33.64, 102.14, 162, 44, 0, 433, 13821, 19603
25.90, 33.07, 102.14, 162, 43, 0, 433, 13823, 19607
25.90, 33.59, 102.14, 157, 43, 1, 432, 13827, 19603
25.87, 33.35, 102.13, 157, 44, 0, 422, 13825, 19608
25.90, 33.53, 102.13, 163, 43, 0, 422, 13830, 19611
25.87, 33.32, 102.14, 163, 44, 2, 427, 13827, 19614
25.88, 33.60, 102.14, 172, 44, 2, 414, 13831, 19611
25.88, 33.25, 102.14, 172, 43, 0, 420, 13833, 19616
25.87, 33.66, 102.14, 177, 43, 0, 410, 13831, 19620
25.90, 33.05, 102.14, 177, 45, 0, 412, 13833, 19627
25.90, 33.61, 102.13, 174, 44, 1, 415, 13837, 19636
25.90, 33.06, 102.13, 174, 43, 0, 409, 13842, 19628
25.92, 33.79, 102.13, 163, 44, 4, 406, 13834, 19633
25.94, 33.30, 102.14, 163, 43, 3, 409, 13836, 19630
25.92, 33.32, 102.14, 158, 44, 0, 403, 13840, 19642
25.94, 33.05, 102.13, 158, 44, 7, 412, 13843, 19640
25.94, 33.81, 102.14, 164, 41, 0, 400, 13841, 19636
25.94, 33.20, 102.14, 164, 44, 2, 400, 13847, 19644
25.94, 33.71, 102.14, 172, 45, 0, 400, 13851, 19638
25.97, 33.12, 102.13, 172, 41, 0, 400, 13848, 19648
25.97, 33.54, 102.14, 178, 44, 2, 400, 13846, 19655
25.96, 33.33, 102.13, 178, 43, 0, 403, 13856, 19653
25.96, 33.71, 102.13, 174, 43, 7, 409, 13849, 19647
25.96, 33.83, 102.14, 174, 42, 0, 400, 13857, 19662
25.97, 33.85, 102.14, 162, 43, 2, 400, 13859, 19660
25.97, 33.68, 102.14, 162, 43, 0, 403, 13857, 19667
25.96, 34.00, 102.14, 157, 41, 0, 400, 13847, 19664
25.97, 33.73, 102.14, 157, 42, 4, 400, 13855, 19673
25.99, 34.00, 102.14, 162, 43, 0, 400, 13857, 19672
25.99, 33.59, 102.14, 162, 42, 0, 404, 13857, 19673
25.99, 33.99, 102.14, 168, 41, 1, 400, 13863, 19674
26.01, 33.56, 102.13, 168, 44, 0, 400, 13855, 19677
26.01, 33.93, 102.14, 176, 42, 0, 409, 13861, 19683
25.99, 33.86, 102.13, 176, 41, 1, 400, 13858, 19679
25.99, 33.81, 102.13, 176, 42, 3, 400, 13863, 19684
26.01, 33.52, 102.13, 176, 41, 0, 400, 13861, 19692
26.01, 33.84, 102.14, 166, 41, 0, 400, 13858, 19691
25.99, 33.21, 102.14, 166, 42, 0, 406, 13856, 19691
25.99, 33.57, 102.14, 158, 41, 2, 402, 13857, 19687
26.01, 33.48, 102.13, 158, 41, 0, 406, 13863, 19690
25.99, 33.86, 102.14, 160, 41, 0, 402, 13859, 19701
26.01, 33.01, 102.14, 160, 41, 2, 408, 13856, 19688
26.03, 33.76, 102.13, 165, 41, 0, 404, 13852, 19690
26.06, 33.05, 102.14, 165, 40, 1, 400, 13858, 19705
26.03, 33.69, 102.13, 174, 41, 2, 408, 13856, 19699
25.99, 33.21, 102.14, 174, 40, 2, 407, 13859, 19704
25.99, 33.65, 102.14, 177, 40, 2, 400, 13856, 19706
26.01, 33.49, 102.14, 177, 41, 1, 404, 13856, 19709
26.01, 33.60, 102.14, 171, 41, 1, 413, 13857, 19698
26.03, 33.16, 102.14, 171, 39, 0, 407, 13861, 19705
26.01, 33.45, 102.14, 161, 42, 0, 400, 13862, 19708
25.99, 33.21, 102.14, 161, 40, 4, 405, 13864, 19713
25.99, 33.49, 102.14, 158, 41, 0, 403, 13867, 19720
26.05, 33.23, 102.13, 158, 42, 0, 400, 13867, 19722
25.99, 33.41, 102.13, 163, 42, 2, 407, 13861, 19718
26.01, 33.21, 102.14, 163, 41, 0, 400, 13860, 19716
26.01, 33.35, 102.13, 170, 41, 1, 411, 13866, 19724
25.99, 33.07, 102.13, 170, 40, 1, 405, 13866, 19723
26.06, 33.22, 102.14, 176, 40, 0, 400, 13865, 19734
26.05, 32.69, 102.14, 176, 42, 0, 401, 13876, 19731
26.08, 33.30, 102.14, 177, 40, 3, 407, 13867, 19727
26.03, 32.82, 102.14, 177, 43, 0, 404, 13870, 19736
26.03, 33.36, 102.13, 169, 41, 0, 400, 13871, 19741
26.05, 32.70, 102.14, 169, 41, 0, 410, 13873, 19738
26.05, 33.26, 102.13, 161, 40, 3, 410, 13878, 19753
26.05, 32.95, 102.14, 161, 40, 0, 400, 13873, 19747
26.08, 33.23, 102.13, 159, 40, 1, 404, 13865, 19738
26.05, 32.91, 102.13, 159, 40, 1, 405, 13869, 19749
26.06, 33.27, 102.14, 164, 40, 0, 400, 13873, 19743
26.06, 32.72, 102.13, 164, 37, 2, 407, 13876, 19744
26.06, 32.86, 102.14, 169, 41, 0, 402, 13879, 19746
26.05, 32.83, 102.14, 169, 40, 3, 400, 13877, 19754
26.06, 33.02, 102.14, 175, 41, 0, 402, 13881, 19752
26.08, 32.63, 102.14, 175, 40, 1, 404, 13876, 19751
26.05, 33.01, 102.13, 177, 38, 0, 400, 13883, 19758
26.08, 32.82, 102.13, 177, 40, 0, 404, 13887, 19772
26.10, 32.92, 102.14, 172, 39, 0, 400, 13880, 19757
26.05, 32.62, 102.13, 172, 48, 5, 403, 13881, 19770
26.10, 33.03, 102.14, 163, 39, 0, 400, 13879, 19759
26.08, 32.43, 102.13, 163, 40, 0, 400, 13878, 19766
26.10, 32.93, 102.14, 158, 38, 4, 400, 13878, 19760
26.10, 32.71, 102.13, 158, 41, 0, 403, 13883, 19765
26.10, 32.45, 102.14, 161, 39, 9, 400, 13877, 19766
26.12, 32.82, 102.14, 161, 38, 6, 403, 13887, 19772
26.10, 32.81, 102.13, 166, 40, 0, 400, 13887, 19780
26.10, 32.47, 102.14, 166, 41, 1, 400, 13889, 19784
26.08, 32.79, 102.14, 173, 38, 4, 411, 13879, 19770
26.10, 32.57, 102.13, 173, 40, 2, 412, 13886, 19778
26.10, 32.69, 102.13, 178, 39, 0, 400, 13880, 19777
26.10, 32.75, 102.14, 178, 40, 1, 400, 13889, 19779
26.10, 32.62, 102.14, 178, 39, 0, 400, 13884, 19780
26.12, 32.17, 102.14, 178, 39, 4, 402, 13890, 19783
26.12, 32.78, 102.14, 170, 36, 0, 400, 13888, 19785
