Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
26.32, 28.99, 101.98, 684, 31, 2, 405, 14128, 20131
26.37, 28.52, 101.97, 684, 33, 6, 404, 14128, 20129
26.37, 29.20, 101.98, 684, 33, 4, 413, 14125, 20129
26.32, 28.83, 101.97, 684, 32, 2, 406, 14117, 20129
26.37, 29.07, 101.98, 685, 34, 1, 412, 14124, 20126
26.33, 28.53, 101.97, 685, 34, 0, 409, 14123, 20131
26.33, 28.97, 101.97, 685, 33, 0, 412, 14121, 20134
26.33, 29.00, 101.98, 685, 31, 0, 412, 14123, 20142
26.32, 29.21, 101.97, 684, 33, 13, 416, 14119, 20130
26.33, 28.79, 101.97, 684, 32, 10, 402, 14116, 20130
26.35, 29.07, 101.98, 684, 33, 12, 412, 14123, 20130
26.33, 29.03, 101.98, 684, 34, 5, 407, 14121, 20135
26.32, 29.00, 101.97, 684, 33, 1, 400, 14123, 20143
26.33, 28.97, 101.97, 684, 32, 3, 405, 14129, 20143
26.33, 29.02, 101.97, 684, 32, 0, 400, 14125, 20145
26.32, 29.03, 101.98, 684, 32, 3, 409, 14114, 20136
26.35, 29.14, 101.98, 689, 34, 0, 412, 14124, 20145
26.32, 28.49, 101.97, 689, 33, 0, 408, 14123, 20135
26.33, 28.99, 101.97, 689, 33, 0, 402, 14128, 20149
26.33, 29.09, 101.97, 689, 32, 1, 400, 14123, 20149
26.35, 29.07, 101.98, 689, 32, 3, 403, 14126, 20153
26.33, 28.83, 101.97, 689, 33, 0, 405, 14127, 20150
26.33, 29.03, 101.97, 689, 32, 0, 400, 14127, 20153
26.35, 29.09, 101.98, 689, 32, 0, 400, 14131, 20157
26.35, 28.99, 101.98, 677, 33, 0, 401, 14129, 20158
26.35, 28.49, 101.98, 677, 34, 2, 400, 14128, 20153
26.33, 28.99, 101.98, 685, 32, 6, 408, 14129, 20152
26.39, 29.07, 101.98, 685, 33, 0, 402, 14130, 20157
26.35, 29.26, 101.97, 685, 32, 0, 400, 14130, 20168
26.35, 29.11, 101.98, 685, 32, 0, 404, 14127, 20160
26.37, 29.20, 101.97, 684, 33, 2, 407, 14122, 20166
26.37, 29.07, 101.97, 684, 34, 0, 400, 14136, 20165
26.33, 29.02, 101.98, 685, 34, 5, 413, 14125, 20161
26.37, 29.14, 101.98, 685, 33, 4, 406, 14123, 20167
26.35, 28.92, 101.98, 686, 32, 4, 405, 14121, 20162
26.35, 28.46, 101.98, 686, 32, 6, 407, 14128, 20166
26.33, 29.14, 101.98, 686, 33, 1, 405, 14126, 20171
26.35, 28.48, 101.98, 686, 31, 0, 400, 14131, 20172
26.37, 29.03, 101.98, 687, 32, 5, 400, 14130, 20172
26.35, 28.89, 101.98, 687, 32, 4, 402, 14130, 20170
26.37, 28.95, 101.98, 686, 32, 0, 400, 14138, 20179
