Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
24.80, 26.41, 102.56, 84, 26, 127, 400, 14241, 20871
24.73, 26.36, 102.56, 84, 27, 130, 400, 14238, 20866
24.73, 26.35, 102.56, 85, 27, 125, 400, 14241, 20870
24.77, 26.08, 102.56, 85, 27, 129, 400, 14244, 20874
24.73, 26.39, 102.56, 86, 26, 128, 400, 14235, 20866
24.75, 26.36, 102.56, 86, 26, 128, 400, 14234, 20872
24.73, 26.36, 102.56, 86, 26, 126, 400, 14238, 20864
24.77, 26.13, 102.56, 86, 27, 124, 400, 14235, 20870
24.73, 26.25, 102.56, 86, 25, 124, 400, 14239, 20874
24.75, 26.35, 102.56, 86, 26, 124, 400, 14238, 20870
24.73, 26.43, 102.56, 86, 26, 129, 400, 14241, 20876
24.71, 26.39, 102.56, 86, 25, 126, 400, 14241, 20874
24.73, 26.17, 102.56, 85, 27, 126, 400, 14234, 20879
24.73, 26.47, 102.56, 85, 26, 125, 400, 14236, 20872
24.77, 26.20, 102.56, 84, 26, 125, 400, 14236, 20871
24.77, 26.17, 102.56, 84, 26, 131, 400, 14236, 20870
24.73, 26.27, 102.56, 83, 26, 128, 400, 14233, 20868
24.77, 25.93, 102.56, 83, 26, 129, 400, 14235, 20868
24.75, 26.42, 102.56, 83, 26, 132, 400, 14239, 20870
24.71, 26.39, 102.56, 83, 27, 124, 400, 14237, 20877
24.71, 26.20, 102.56, 83, 27, 120, 400, 14238, 20872
24.68, 26.05, 102.56, 83, 27, 122, 400, 14232, 20872
24.70, 26.34, 102.56, 83, 25, 124, 400, 14235, 20877
24.70, 26.20, 102.56, 83, 26, 129, 400, 14224, 20870
24.71, 26.26, 102.56, 85, 25, 125, 400, 14229, 20878
24.73, 26.30, 102.56, 85, 28, 124, 400, 14233, 20877
24.73, 26.47, 102.56, 85, 26, 122, 400, 14235, 20875
24.68, 26.36, 102.56, 85, 26, 120, 400, 14233, 20871
24.73, 26.42, 102.56, 86, 26, 122, 400, 14232, 20875
24.71, 26.52, 102.56, 86, 26, 126, 400, 14237, 20872
24.75, 26.27, 102.56, 86, 27, 117, 400, 14239, 20875
24.71, 25.97, 102.56, 86, 27, 118, 400, 14236, 20875
24.73, 26.06, 102.56, 85, 26, 120, 400, 14236, 20877
24.70, 26.38, 102.56, 85, 24, 119, 400, 14240, 20878
24.77, 26.40, 102.56, 84, 27, 121, 400, 14239, 20869
24.75, 26.08, 102.56, 84, 26, 119, 400, 14243, 20876
24.73, 26.37, 102.56, 84, 27, 109, 400, 14251, 20892
24.73, 25.92, 102.56, 84, 26, 121, 400, 14240, 20881
24.75, 26.31, 102.56, 83, 27, 119, 400, 14245, 20883
24.73, 26.10, 102.56, 83, 26, 126, 400, 14242, 20879
24.70, 26.36, 102.56, 83, 26, 118, 400, 14245, 20876
24.73, 26.24, 102.56, 83, 26, 119, 400, 14244, 20873
24.73, 26.26, 102.55, 83, 26, 119, 400, 14244, 20871
