Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
31.25, 17.76, 102.51, 645, 25, 347, 400, 14284, 20581
31.28, 17.99, 102.50, 645, 26, 342, 400, 14290, 20587
31.28, 17.89, 102.50, 645, 25, 339, 400, 14289, 20594
31.28, 18.23, 102.50, 645, 27, 346, 400, 14291, 20595
31.23, 17.73, 102.51, 645, 27, 350, 400, 14281, 20588
31.23, 18.15, 102.50, 645, 26, 344, 400, 14288, 20595
31.21, 17.90, 102.50, 645, 26, 347, 400, 14284, 20588
31.16, 18.01, 102.50, 645, 26, 342, 400, 14283, 20588
31.18, 17.75, 102.50, 642, 25, 347, 400, 14283, 20594
31.16, 18.05, 102.50, 642, 26, 340, 400, 14288, 20589
31.14, 17.77, 102.50, 646, 26, 348, 400, 14286, 20599
31.10, 18.13, 102.50, 646, 26, 341, 400, 14287, 20600
31.12, 17.99, 102.50, 655, 26, 337, 400, 14291, 20599
31.12, 18.15, 102.50, 655, 26, 333, 400, 14290, 20602
31.10, 17.71, 102.50, 656, 27, 327, 400, 14288, 20599
31.09, 18.22, 102.50, 656, 27, 326, 400, 14283, 20607
31.10, 17.72, 102.50, 761, 26, 325, 400, 14281, 20599
31.07, 17.88, 102.50, 761, 27, 337, 400, 14291, 20604
31.07, 17.80, 102.50, 807, 26, 337, 400, 14281, 20594
31.07, 17.85, 102.50, 807, 26, 324, 400, 14290, 20602
31.03, 17.49, 102.50, 810, 24, 327, 400, 14286, 20603
31.01, 17.86, 102.50, 810, 14, 330, 400, 14287, 20601
31.01, 17.65, 102.50, 814, 26, 327, 400, 14288, 20602
30.98, 17.81, 102.50, 814, 26, 329, 400, 14289, 20611
31.00, 17.84, 102.50, 814, 26, 328, 400, 14292, 20606
30.96, 17.84, 102.50, 814, 26, 327, 400, 14287, 20606
30.98, 17.72, 102.50, 811, 26, 327, 400, 14286, 20605
